"Category Type","Category","Product","Report By","Starting Inventory Price","Starting Inventory Count","Starting Inventory Value","Purchased Units","Purchased Value","Ending Inventory Price","Ending Inventory Count","Ending Inventory Value","Used Units","Used Value","Cost %","Wasted Units","Wasted Values","Waste %"
"Food","Grocery and Dry Goods","Vinegar, White","Gallon",0,1.3042510492,0,0,0,0,2.5679285978,0," -1.263678",0,"0.00%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Water, Tap","Gallon",0,82.8612046342,0,0,0,0,93.7547933496,0," -10.893589",0,"0.00%",0.3335294118,0,"0.00%"
"Food","Grocery and Dry Goods","White Vinegar","Gallon",2.987499999995892,6.7652345632,20.2111382575,24,71.7,2.9875000000270173,13.2063622967,39.4540073614,17.558872,52.457131,"0.02%",0.145833352,0.4356771391,"0.83%"
"Food","Grocery and Dry Goods","Xanthan Gum","Pound",22.22149997378039,0.0879797977,1.9550430725,2.20462,48.99,22.221500009189946,0.2785585327,6.1899884356,2.014041,44.755055,"0.02%",0.0181557304,0.4034475630836,"0.90%"
"Food","Grocery and Dry Goods","[RP-R] Oxtail Bone Broth — batch","Batch",1524.1,0.6187,942.96067,0,0,1524.1,0.6187,942.96067,0,0,"0.00%",0,0,"0.00%"
"Food","Grocery and Dry Goods","[RP] Chicken & Shrimp Egg Rolls (Tray)","40 Pieces",11.79,7.4508,87.844932,0,0,0,0,0,7.4508,87.844932,"0.04%",0,0,"0.00%"
"Food","Grocery and Dry Goods","[RP] Oxtail Bone Broth Bag","Bag",12.7,30.935,392.8745," -41.4529"," -548.520859",12.7,47.0212,597.16924," -57.5391"," -752.815599"," -0.33%",0,0,"0.00%"
"Food","Grocery and Dry Goods","[RP] Pickled Medley - Prepped","Container",22.030000000012,0.37104166651825,8.1740479134015,0,0,22.030000000012,0.4452499998219,9.8088574960818," -0.074208"," -1.63481","0.00%",0,0,"0.00%"
"Food","Grocery and Dry Goods","[RP] Tray Veggie Egg Rolls","40 Each",12.11,16.2294,196.538034,0,0,0,0,0,16.2294,196.538034,"0.09%",1.18032,14.222856,"7.24%"
"Food","Grocery and Dry Goods","Rice Paper (Eggroll)","Case",0,0,0,0,0,0,0,0,0,0,"0.00%",0.04309605825,4.3957979415,"0.00%"
"Food","Meat","Beef, Brisket","Pound",6.439999999999942,158.9212495314,1023.4528469822,1385.8,8924.55,6.440000000000209,152.0456416006,979.1739319079,1392.675608,8968.828915,"3.98%",58.3333333345,375.66666667418,"4.19%"
"Food","Meat","Beef, Eye Round","Pound",7.179899999999446,627.3149350857,4504.0585024215,117.5,843.65,7.179999999999919,491.477272743,3528.8068182947,253.337662,1818.901684,"0.81%",0,0,"0.00%"
"Food","Meat","Beef, Knuckle Bones","Pound (Pound)",0,0,0,164.37,359.97,0,0,0,164.37,359.97,"0.16%",0,0,"0.00%"
